Statement,Prediction
You are practicing yoga in the gym,56.87214285714283
He is teaching a class in the classroom,36.22749999999998
She is working in the office,35.12749999999997
We are enjoying a barbecue in the backyard,44.46499999999998
They are volunteering at a local shelter,75.70071428571427
It is quiet in the library,48.460833333333305
I am playing basketball in the sports court,47.47749999999999
You are jogging in the park,24.14416666666664
He is fixing a bicycle in the garage,44.46499999999998
She is gardening in the backyard,59.44416666666666
We are having a family dinner at the dining table,67.1275
They are exploring a museum,66.27999999999997
It is crowded in the city center,45.4435714285714
I am riding a bike in the bike lane,29.745555555555526
You are painting a picture in the art class,38.17888888888888
He is playing chess in the park,17.20071428571425
She is sewing a dress in the sewing room,37.06777777777776
We are cheering at a football match,36.02928571428569
They are camping in the forest,35.12749999999997
It is peaceful by the lakeside,83.76083333333332
I am practicing meditation in the meditation room,115.65250000000002
You are taking photos at a scenic spot,45.71499999999999
He is playing tennis on the tennis court,36.227499999999985
She is performing on stage in the theater,54.46499999999999
We are having a picnic by the river,43.214999999999975
They are skiing on the snowy slopes,36.02928571428569
It is festive at the carnival,59.44416666666666
I am riding a roller coaster at the amusement park,74.7175
You are studying in the university library,105.95785714285715
He is playing video games in his room,37.477499999999985
She is cooking a meal in the kitchenette,54.46499999999999
We are sunbathing on the beach,48.460833333333305
They are rock climbing on a cliff,26.614999999999952
It is tranquil in the countryside,59.44416666666666
I am attending a conference in the convention center,101.45666666666666
You are hiking on a trail in the mountains,37.06777777777776
He is skateboarding in the skate park,56.87214285714283
She is creating art in the studio,36.02928571428569
We are celebrating a birthday at the party venue,69.03444444444443
They are kayaking on the river,35.12749999999997
It is bustling in the market,35.12749999999997
I am riding a horse in the equestrian center,61.7122222222222
I am wearing a red shirt today,37.45785714285712
You have a beautiful smile,53.099999999999966
He loves playing soccer in the park,37.45785714285712
She enjoys reading books in her free time,38.72749999999999
We are going on a picnic this weekend,36.22749999999998
They are studying for their upcoming exams,66.28642857142856
It is raining outside so remember to bring an umbrella,82.7175
I am meeting my friends at the coffee shop,30.856666666666634
You can find the keys on the kitchen counter,37.06777777777776
He is going to the gym to work out,21.312222222222175
She is listening to her favorite songs on the radio,75.1275
We are having a barbecue party in the backyard,51.712222222222195
They are planning a road trip across the country,46.6122222222222
It is snowing heavily creating a winter wonderland,99.91500000000002
I am attending a conference for professionals in my field,96.3075
You should try the new restaurant in town,47.47749999999999
He is learning to play the guitar,36.02928571428569
She is taking a dance class at the local studio,46.947499999999984
We are volunteering at the animal shelter,96.54357142857143
They are organizing a charity event to raise funds,86.35666666666668
It is a sunny day perfect for a day at the beach,41.83583333333332
I am preparing a delicious meal for dinner,82.19
You are invited to the birthday party this Saturday,85.24555555555557
He is playing basketball with his friends,47.45785714285712
She is studying for her driver's license test,46.6122222222222
We are decorating the house for the holiday season,84.13444444444445
They are participating in a marathon for a good cause,80.7175
It is a beautiful sunset painting the sky with vibrant colors,73.93772727272726
I am visiting my grandparents during the summer break,85.24555555555557
You are going on a hiking trip to the mountains,39.35749999999998
He is practicing his piano skills for the recital,77.92333333333333
She is painting a picture of a serene landscape,51.7122222222222
We are exploring a new city on our vacation,77.92333333333333
They are watching a movie at the cinema,54.46499999999999
It is a busy day at work with meetings and deadlines,61.04681818181815
I am taking a yoga class to relax and stay fit,48.6922727272727
You are attending a concert by your favorite band,77.92333333333333
He is working on a DIY project in his garage,45.947499999999984
She is writing a heartfelt letter to a dear friend,45.947499999999984
We are hosting a family gathering at our house,77.92333333333333
They are planting flowers in the garden,45.4435714285714
It is a hot summer day perfect for swimming,46.6122222222222
I am baking cookies for a bake sale,37.477499999999985
You are attending a language course to learn a new language,60.13772727272725
He is fixing his car in the garage,36.22749999999998
She is attending a photography workshop to enhance her skills,89.3075
We are going on a sightseeing tour in the city,39.35749999999998
They are renovating their house to give it a fresh look,55.05590909090907
It is a clear night sky ideal for stargazing,55.50111111111109
I am babysitting my little cousin for the weekend,69.03444444444443
You are going on a shopping spree at the mall,32.76749999999998
He is coaching a youth soccer team,37.45785714285712
She is knitting a sweater for her newborn niece,45.501111111111086
We are planning a surprise party for our friend's birthday,54.683181818181794
They are enjoying a picnic in the park,36.22749999999998
It is a windy day making the leaves rustle,46.6122222222222
I am studying for my final exams at the library,67.1275
You are attending a wedding ceremony this evening,116.90250000000002
He is fishing by the river hoping for a big catch,47.783181818181795
She is practicing ballet in the dance studio,63.9525
We are camping in the wilderness surrounded by nature,85.24555555555557
They are going on a safari to see wild animals,69.5375
It is a foggy morning creating a mystical atmosphere,92.56777777777778
I am trying out a new recipe for dinner tonight,46.947499999999984
You are starting a new job at a reputable company,75.1275
He is training for a marathon to challenge himself,67.92333333333332
She is attending a mindfulness retreat for inner peace,86.35666666666668
We are exploring historical landmarks in the city,98.66500000000002
They are building a sandcastle on the beach,36.22749999999998
It is a cozy evening sitting by the fireplace with a book,77.96916666666667
I am going to the park to play with my dog,27.99227272727269
You have a talent for playing the piano,36.22749999999998
He enjoys watching movies on weekends,60.42750000000001
She is studying for her final exams at the library,67.1275
We are going on a road trip to explore new places,42.701363636363624
They are having a picnic in the beautiful countryside,84.13444444444445
It is a sunny day perfect for a bike ride,39.35749999999999
I am learning to bake delicious cakes and cookies,70.14555555555556
You are invited to the party at my place on Saturday,73.40136363636363
He is practicing his basketball skills at the court,70.6011111111111
She is painting a beautiful landscape with vibrant colors,77.46777777777778
We are volunteering at the local community center,106.90250000000003
They are organizing a charity event to support a cause,88.3075
It is a rainy day so I will stay indoors and read,43.50249999999998
I am excited to travel to new countries and experience different cultures,114.93583333333335
You have a natural talent for photography,96.54357142857143
He loves to swim in the ocean on hot summer days,48.6922727272727
She is passionate about writing stories and poems,72.19
We are planning a hiking trip to the mountains,45.501111111111086
They are renovating their house to make it more comfortable,75.1275
It is a peaceful evening watching the sunset by the lake,79.39227272727271
I am practicing yoga to improve my flexibility and relaxation,123.66750000000003
You are attending a concert of your favorite band tonight,82.7175
He is fixing his bike in the garage,36.22749999999998
She is participating in a dance competition next month,93.67888888888889
We are hosting a family reunion at our beach house,61.53749999999999
They are planting trees to contribute to the environment,84.13444444444445
It is a snowy day perfect for building a snowman,52.53749999999998
I am working on a new art project using acrylic paints,68.85590909090908
You are learning to speak a new language fluently,46.6122222222222
He enjoys playing soccer with his friends in the park,40.35749999999999
She is passionate about helping others in need,72.19
We are going to the beach to soak up the sun,27.083181818181778
They are studying for their university entrance exams,88.66500000000002
It is a windy day so be careful with your hat,54.146818181818155
I am going to the gym to work out and stay fit,31.685833333333306
You have a great sense of humor,26.614999999999952
He loves to read science fiction novels,48.30071428571427
She is learning to play the guitar in her free time,41.79227272727271
We are planning a trip to visit historical landmarks,77.46777777777778
They are organizing a charity drive to support the homeless,103.89750000000002
It is a rainy day so stay indoors and watch a movie,43.50249999999999
I am excited about starting a new job next week,62.537499999999994
You are a talented artist with a unique style,60.60111111111109
He enjoys hiking in the mountains and exploring nature,77.46777777777778
She is passionate about environmental conservation,164.6608333333334
We are going to the zoo to see exotic animals,68.5375
They are practicing for their upcoming music recital,108.66500000000002
It is a sunny day perfect for a picnic in the park,48.16083333333332
I am learning to cook new recipes from around the world,61.95590909090907
You have a beautiful singing voice,61.11083333333333
He loves to play video games in his spare time,47.94749999999999
She is training for a marathon and running every day,82.7175
We are planning a camping trip to the national park,61.53749999999999
They are volunteering at a local soup kitchen to help the needy,72.96916666666667
